Code,Year,life_expectancy,gdp_per_capita,health_spending_pct_gdp,DTP3,MCV1,gini,share_below_6_85,neonatal,tuberculosis,hiv_aids,neoplasms,cardiovascular,gdp_log,neonatal_log,tuberculosis_log,hiv_aids_log
BLR,2016,74.258,18609.34,4.192988,98.0,98.0,0.25306615,4.5907874,2.2,3.41,3.41,200.28,800.69,4.269730970689021,1.1631508098056809,1.4838746894587547,1.4838746894587547
BLR,2017,74.4519,20307.428,3.9805472,97.0,97.0,0.2544457,3.2700672,2.02,3.29,3.31,204.0,806.43,4.3076549221177265,1.1052568313867783,1.4562867329399256,1.4609379041156565
BLR,2018,74.5676,21174.275,3.9,97.0,98.0,0.25240526,1.9435296,1.85,3.2,3.2,204.45,793.21,4.325808549161435,1.0473189942805592,1.4350845252893227,1.4350845252893227
BLR,2019,74.216,21665.938,4.125271,98.0,98.0,0.25277847,2.4408443,1.7,3.16,3.12,208.45,798.47,4.335777496020088,0.9932517730102833,1.425515074273172,1.415853163361435
BEL,2000,77.7665,33739.33,5.961859,95.0,82.0,0.3313756,0.97794336,2.46,1.39,0.8,287.42,350.7,4.528136454062473,1.2412685890696329,0.8712933659434192,0.5877866649021191
BEL,2003,78.3198,35921.406,6.792584,95.0,82.0,0.28143948,0.87760156,2.17,1.28,0.87,279.27,339.78,4.555353327051261,1.1537315878891892,0.8241754429663494,0.6259384308664953
BEL,2004,78.9599,36637.98,6.9958024,95.0,82.0,0.30541503,0.42100617,2.07,1.2,0.97,276.5,326.34,4.563931521244807,1.1216775615991057,0.7884573603642702,0.6780335427498971
BEL,2005,79.0526,40701.17,6.897908,97.0,88.0,0.2933733,0.4992827,2.14,1.18,0.77,275.22,320.14,4.609606893678302,1.144222799920162,0.7793248768009976,0.5709795465857378
BEL,2006,79.3884,39286.82,6.807685,98.0,92.0,0.28054497,0.42429945,2.16,1.13,0.64,271.21,310.24,4.594246877059592,1.1505720275988207,0.7561219797213337,0.49469624183610705
BEL,2007,79.5262,40197.406,6.7758203,98.0,92.0,0.29237974,0.393612,2.17,1.15,0.66,270.47,307.38,4.604198028302515,1.1537315878891892,0.7654678421395714,0.5068176023684519
BEL,2008,79.5769,43370.99,7.2696805,99.0,93.0,0.2837401,0.28361964,2.07,1.13,0.72,265.86,307.28,4.637199335605758,1.1216775615991057,0.7561219797213337,0.5423242908253617
BEL,2009,79.847,41608.61,7.8751006,98.0,95.0,0.2855135,0.34456617,2.03,1.05,0.62,277.95,298.09,4.619183207756105,1.1085626195212777,0.7178397931503169,0.4824261492442927
BEL,2010,80.033,44733.914,7.7802644,98.0,95.0,0.2837519,0.4690388,2.02,1.0,0.76,284.02,289.85,4.650636898490936,1.1052568313867783,0.6931471805599453,0.5653138090500605
BEL,2011,80.3649,44285.63,7.9088397,98.0,95.0,0.28060696,0.59592324,1.96,0.94,0.72,287.05,285.67,4.646262827258764,1.085189268335969,0.6626879730752367,0.5423242908253617
BEL,2012,80.2607,44366.01,8.043315,99.0,96.0,0.27491096,0.45270455,1.99,0.93,0.66,292.88,286.45,4.64705037275756,1.095273387402595,0.6575200029167942,0.5068176023684519
BEL,2013,80.468,43980.91,8.038704,99.0,96.0,0.276692,0.501142,1.89,0.86,0.69,295.61,283.86,4.643264211015902,1.0612565021243408,0.6205764877251099,0.5247285289349821
BEL,2014,81.0811,43960.465,8.086063,99.0,96.0,0.28134146,0.27223513,1.81,0.79,0.52,292.87,275.95,4.643062277606457,1.0331844833456545,0.5822156198526637,0.41871033485818504
BEL,2015,80.8898,42891.355,7.9176555,99.0,96.0,0.27729464,0.21745087,1.74,0.78,0.54,294.59,280.72,4.632369766447224,1.007957920399979,0.5766133643039938,0.43178241642553783
BEL,2016,81.2661,43413.094,8.320233,98.0,96.0,0.27580982,0.30444276,1.66,0.71,0.54,291.61,277.19,4.637620738597135,0.9783261227936076,0.5364933705145685,0.43178241642553783
BEL,2017,81.3618,45150.195,8.337511,98.0,96.0,0.27387968,0.3561628,1.6,0.71,0.52,291.7,282.32,4.654659630335927,0.9555114450274363,0.5364933705145685,0.41871033485818504
BEL,2018,81.4787,44205.297,8.269925,98.0,96.0,0.27214414,0.19990413,1.54,0.72,0.51,292.81,287.76,4.645474312788828,0.9321640810304452,0.5423242908253617,0.412109650826833
BEL,2019,81.8311,44839.68,8.181389,97.0,96.0,0.27219802,0.21843368,1.49,0.71,0.49,294.95,292.65,4.6516625045756985,0.9122827104766162,0.5364933705145685,0.3987761199573678
BEN,2003,56.7378,1952.2593,0.66474736,73.0,65.0,0.385782,95.1009,129.73,33.29,58.33,38.38,96.75,3.2905375003594637,4.873134127573769,3.534853766474829,4.083115080270552
BEN,2011,58.4624,2160.346,0.7959457,75.0,70.0,0.43439707,91.974655,122.22,25.81,24.67,40.48,92.39,3.33452331312169,4.813971375586425,3.2887749522478678,3.245322994883049
BEN,2015,59.3771,3072.4944,0.58544844,74.0,67.0,0.47755915,91.82329,112.1,24.58,23.32,40.6,92.01,3.487491100003955,4.728272383122075,3.2418107961506966,3.1912990570979662
BEN,2018,60.1403,3118.2515,0.4908835,76.0,68.0,0.37948644,83.60608,102.86,21.6,16.98,40.89,89.94,3.4939111399283043,4.6430438384161725,3.1179499062782403,2.8892600290434745
BTN,2003,64.6962,5553.9844,2.856149,95.0,88.0,0.40898,73.2761,86.72,29.17,2.98,46.11,127.97,3.7446046555720653,4.474149923549687,3.40684805317097,1.3812818192963463
BTN,2007,66.9537,6538.2363,2.6405091,95.0,95.0,0.3809077,62.299698,67.63,22.99,3.39,48.48,133.35,3.815460612471266,4.2287297569205435,3.177637076851603,1.47932922708708
BTN,2012,69.3261,9464.409,2.5180655,97.0,95.0,0.38809326,44.870136,51.44,17.57,4.04,54.09,144.01,3.976093499857936,3.959669658895499,2.9215473753646144,1.6174060820832772
BTN,2017,70.8472,11190.055,2.4894648,98.0,97.0,0.3744141,39.53818,36.06,15.11,4.24,59.39,152.85,4.0488322211251155,3.6125382208572137,2.779440197188883,1.6563214983329508
BOL,2000,62.3461,3264.6858,2.4320164,75.0,84.0,0.61639917,55.82253,63.83,34.68,6.68,88.8,111.55,3.5138413902382375,4.171768459186905,3.5745903077118086,2.038619547159581
BOL,2001,62.8426,3341.6895,2.6140192,71.0,88.0,0.57398796,51.780598,61.61,31.85,6.84,89.95,110.77,3.523966094060874,4.136925009757219,3.4919517449306197,2.0592388343623163
BOL,2002,63.3064,3441.554,2.602146,77.0,91.0,0.5931104,53.80924,59.37,29.7,6.92,91.46,110.83,3.5367545882782556,4.100492292808335,3.4242626545931514,2.0693912058263346
BOL,2004,64.0041,3703.2166,2.5355177,84.0,90.0,0.5500987,45.81185,55.71,25.44,6.9,93.62,111.27,3.56857911454302,4.037950562025936,3.2748780149834857,2.066862759472976
BOL,2005,64.3856,3896.6584,2.7536964,85.0,89.0,0.58527935,47.212734,54.03,24.23,6.91,94.91,112.44,3.5906923350979025,4.007878491071668,3.2280337626529665,2.0681277817795625
BOL,2006,64.7793,4040.7559,2.6110628,83.0,88.0,0.5666768,42.07665,52.4,22.75,6.87,96.23,113.79,3.6064626157272284,3.977810745966149,3.1675825304806504,2.063058062429312
BOL,2007,65.0267,4219.324,2.7755427,84.0,86.0,0.5453707,41.161266,51.0,21.42,6.78,98.13,115.61,3.6252428759411166,3.9512437185814275,3.109953417644014,2.0515563381903004
